,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,Cy5,E_covid,Neg Ctrl,,8900.19699423813,,ControlNegative,Negative,True
,A02,Cy5,E_covid,Unkn,,8896.9140585747,,Unknown,NoCall,False
,A03,Cy5,E_covid,Unkn,,8957.05366784242,(+) Positive,Unknown,Positive,False
,A04,Cy5,E_covid,Unkn,,8952.4482310023,(+) Positive,Unknown,Positive,False
,A05,Cy5,E_covid,Unkn,,8953.86413097001,(+) Positive,Unknown,Positive,False
,A06,Cy5,E_covid,Unkn,,8907.6269576106,(+) Positive,Unknown,Positive,False
,A07,Cy5,E_covid,Unkn,,8914.32823946956,(+) Positive,Unknown,Positive,False
,A08,Cy5,E_covid,Unkn,,8956.91238531048,(+) Positive,Unknown,Positive,False
,A09,Cy5,E_covid,Unkn,,8914.92435373884,(+) Positive,Unknown,Positive,False
,A10,Cy5,E_covid,Pos Ctrl,,8897.85828867002,,ControlPositive,NoCall,False
,A11,Cy5,E_covid,Unkn,,8895.93407178179,,Unknown,NoCall,False
,A12,Cy5,E_covid,Unkn,,8903.61426253761,,Unknown,NoCall,False
,B01,Cy5,E_covid,Unkn,,8907.86508795486,(+) Positive,Unknown,Positive,False
,B02,Cy5,E_covid,Unkn,,8901.42767228838,,Unknown,NoCall,False
,B03,Cy5,E_covid,Unkn,,8900.81329025139,,Unknown,NoCall,False
,B04,Cy5,E_covid,Unkn,,8900.24993901711,,Unknown,NoCall,False
,B05,Cy5,E_covid,Unkn,,8955.90619203052,(+) Positive,Unknown,Positive,False
,B06,Cy5,E_covid,Unkn,,8905.87885803385,,Unknown,NoCall,False
,B07,Cy5,E_covid,Unkn,,8954.93032554731,(+) Positive,Unknown,Positive,False
,B08,Cy5,E_covid,Unkn,,8903.46784383792,,Unknown,NoCall,False
,B09,Cy5,E_covid,Unkn,,8901.19710320085,,Unknown,NoCall,False
,B10,Cy5,E_covid,Unkn,,8905.58514632198,,Unknown,NoCall,False
,B11,Cy5,E_covid,Unkn,,8906.52551992597,,Unknown,NoCall,False
,B12,Cy5,E_covid,Unkn,,8898.10868660323,,Unknown,NoCall,False
,C01,Cy5,E_covid,Unkn,,8956.95941889752,(+) Positive,Unknown,Positive,False
,C02,Cy5,E_covid,Unkn,,8965.85524417436,(+) Positive,Unknown,Positive,False
,C03,Cy5,E_covid,Unkn,,8902.95125585151,,Unknown,NoCall,False
,C04,Cy5,E_covid,Unkn,,8953.89937363111,(+) Positive,Unknown,Positive,False
,C05,Cy5,E_covid,Unkn,,8906.12042209057,,Unknown,NoCall,False
,C06,Cy5,E_covid,Unkn,,8916.66574049089,(+) Positive,Unknown,Positive,False
,C07,Cy5,E_covid,Unkn,,8911.60573848339,(+) Positive,Unknown,Positive,False
,C08,Cy5,E_covid,Unkn,,8949.87599796399,(+) Positive,Unknown,Positive,False
,C09,Cy5,E_covid,Unkn,,8910.4724978108,(+) Positive,Unknown,Positive,False
,C10,Cy5,E_covid,Unkn,,8917.76402231052,(+) Positive,Unknown,Positive,False
,C11,Cy5,E_covid,Unkn,,8906.61247880104,,Unknown,NoCall,False
,C12,Cy5,E_covid,Unkn,,8953.3386210514,(+) Positive,Unknown,Positive,False
,D01,Cy5,E_covid,Unkn,,8950.38078851367,(+) Positive,Unknown,Positive,False
,D02,Cy5,E_covid,Unkn,,8957.62108560356,(+) Positive,Unknown,Positive,False
,D03,Cy5,E_covid,Unkn,,8898.96408445524,,Unknown,NoCall,False
,D04,Cy5,E_covid,Unkn,,8898.61681211097,,Unknown,NoCall,False
,D05,Cy5,E_covid,Unkn,,8909.38053941513,(+) Positive,Unknown,Positive,False
,D06,Cy5,E_covid,Unkn,,8911.30637571317,(+) Positive,Unknown,Positive,False
,D07,Cy5,E_covid,Unkn,,8949.47615606372,(+) Positive,Unknown,Positive,False
