,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,HEX,IEC,Neg Ctrl,,6865.57867130446,,ControlNegative,Negative,True
,A02,HEX,IEC,Unkn,,7604.45779844324,(+) Positive,Unknown,Positive,False
,A03,HEX,IEC,Unkn,,7603.81363358883,(+) Positive,Unknown,Positive,False
,A04,HEX,IEC,Unkn,,7061.17045838757,(+) Positive,Unknown,Positive,False
,A05,HEX,IEC,Unkn,,7613.810153664,(+) Positive,Unknown,Positive,False
,A06,HEX,IEC,Unkn,,7620.9237391445,(+) Positive,Unknown,Positive,False
,A07,HEX,IEC,Unkn,,7045.64502758326,(+) Positive,Unknown,Positive,False
,A08,HEX,IEC,Unkn,,7606.13290214266,(+) Positive,Unknown,Positive,False
,A09,HEX,IEC,Unkn,,7669.0090611706,(+) Positive,Unknown,Positive,False
,A10,HEX,IEC,Pos Ctrl,,7620.78923743097,(+) Positive,ControlPositive,Positive,False
,A11,HEX,IEC,Unkn,,7604.27200423234,(+) Positive,Unknown,Positive,False
,A12,HEX,IEC,Unkn,,7622.56265612091,(+) Positive,Unknown,Positive,False
,B01,HEX,IEC,Unkn,,7665.50019012793,(+) Positive,Unknown,Positive,False
,B02,HEX,IEC,Unkn,,7669.02577477327,(+) Positive,Unknown,Positive,False
,B03,HEX,IEC,Unkn,,7607.53974638022,(+) Positive,Unknown,Positive,False
,B04,HEX,IEC,Unkn,,7613.07923334763,(+) Positive,Unknown,Positive,False
,B05,HEX,IEC,Unkn,,7034.54180233993,(+) Positive,Unknown,Positive,False
,B06,HEX,IEC,Unkn,,7608.88869386126,(+) Positive,Unknown,Positive,False
,B07,HEX,IEC,Unkn,,7604.34616855497,(+) Positive,Unknown,Positive,False
,B08,HEX,IEC,Unkn,,7604.56806793872,(+) Positive,Unknown,Positive,False
,B09,HEX,IEC,Unkn,,7608.47784541749,(+) Positive,Unknown,Positive,False
,B10,HEX,IEC,Unkn,,7662.04929162144,(+) Positive,Unknown,Positive,False
,B11,HEX,IEC,Unkn,,7666.43548480675,(+) Positive,Unknown,Positive,False
,B12,HEX,IEC,Unkn,,7606.38444870458,(+) Positive,Unknown,Positive,False
,C01,HEX,IEC,Unkn,,7669.03518950691,(+) Positive,Unknown,Positive,False
,C02,HEX,IEC,Unkn,,7605.14260583884,(+) Positive,Unknown,Positive,False
,C03,HEX,IEC,Unkn,,7617.29517725406,(+) Positive,Unknown,Positive,False
,C04,HEX,IEC,Unkn,,7665.85353893413,(+) Positive,Unknown,Positive,False
,C05,HEX,IEC,Unkn,,7610.84418169903,(+) Positive,Unknown,Positive,False
,C06,HEX,IEC,Unkn,,7614.5185833214,(+) Positive,Unknown,Positive,False
,C07,HEX,IEC,Unkn,,7669.37944480702,(+) Positive,Unknown,Positive,False
,C08,HEX,IEC,Unkn,,7612.730804543,(+) Positive,Unknown,Positive,False
,C09,HEX,IEC,Unkn,,7658.89431870141,(+) Positive,Unknown,Positive,False
,C10,HEX,IEC,Unkn,,7604.2537017283,(+) Positive,Unknown,Positive,False
,C11,HEX,IEC,Unkn,,7608.04474709781,(+) Positive,Unknown,Positive,False
,C12,HEX,IEC,Unkn,,7604.92914002371,(+) Positive,Unknown,Positive,False
,D01,HEX,IEC,Unkn,,7607.1031833096,(+) Positive,Unknown,Positive,False
,D02,HEX,IEC,Unkn,,6996.95027250151,(+) Positive,Unknown,Positive,False
,D03,HEX,IEC,Unkn,,7609.77752352916,(+) Positive,Unknown,Positive,False
,D04,HEX,IEC,Unkn,,7609.67429326421,(+) Positive,Unknown,Positive,False
,D05,HEX,IEC,Unkn,,7670.11586258695,(+) Positive,Unknown,Positive,False
,D06,HEX,IEC,Unkn,,7608.36366320909,(+) Positive,Unknown,Positive,False
,D07,HEX,IEC,Unkn,,7660.33799003501,(+) Positive,Unknown,Positive,False
,D08,HEX,IEC,Unkn,,7013.6662393669,(+) Positive,Unknown,Positive,False
,D09,HEX,IEC,Unkn,,7613.99148750043,(+) Positive,Unknown,Positive,False
,D10,HEX,IEC,Unkn,,7606.36713225127,(+) Positive,Unknown,Positive,False
,D11,HEX,IEC,Unkn,,6980.47760481981,(+) Positive,Unknown,Positive,False
